LGA,Total cases,Date
Salisbury (C),3200,2022-01-06
Salisbury (C),2849,2022-01-05
Salisbury (C),2407,2022-01-04
Salisbury (C),2056,2022-01-03
Salisbury (C),1715,2022-01-02
Salisbury (C),1414,2022-01-01
Salisbury (C),1142,2021-12-31
Salisbury (C),927,2021-12-30
Salisbury (C),726,2021-12-29
Salisbury (C),588,2021-12-28
Salisbury (C),468,2021-12-27
Salisbury (C),379,2021-12-26
Salisbury (C),293,2021-12-25
Salisbury (C),236,2021-12-24
Salisbury (C),179,2021-12-23
Salisbury (C),149,2021-12-22
Salisbury (C),131,2021-12-21
Salisbury (C),118,2021-12-20
Port Adelaide Enfield (C),2599,2022-01-06
Port Adelaide Enfield (C),2322,2022-01-05
Port Adelaide Enfield (C),2005,2022-01-04
Port Adelaide Enfield (C),1699,2022-01-03
Port Adelaide Enfield (C),1446,2022-01-02
Port Adelaide Enfield (C),1190,2022-01-01
Port Adelaide Enfield (C),1002,2021-12-31
Port Adelaide Enfield (C),806,2021-12-30
Port Adelaide Enfield (C),675,2021-12-29
Port Adelaide Enfield (C),524,2021-12-28
Port Adelaide Enfield (C),450,2021-12-27
Port Adelaide Enfield (C),364,2021-12-26
Port Adelaide Enfield (C),294,2021-12-25
Port Adelaide Enfield (C),235,2021-12-24
Port Adelaide Enfield (C),151,2021-12-23
Port Adelaide Enfield (C),122,2021-12-22
Port Adelaide Enfield (C),91,2021-12-21
Port Adelaide Enfield (C),83,2021-12-20
Charles Sturt (C),2396,2022-01-06
Charles Sturt (C),2135,2022-01-05
Charles Sturt (C),1819,2022-01-04
Charles Sturt (C),1538,2022-01-03
Charles Sturt (C),1319,2022-01-02
Charles Sturt (C),1152,2022-01-01
Charles Sturt (C),983,2021-12-31
Charles Sturt (C),800,2021-12-30
Charles Sturt (C),675,2021-12-29
Charles Sturt (C),547,2021-12-28
Charles Sturt (C),443,2021-12-27
Charles Sturt (C),355,2021-12-26
Charles Sturt (C),274,2021-12-25
Charles Sturt (C),206,2021-12-24
Charles Sturt (C),145,2021-12-23
Charles Sturt (C),113,2021-12-22
Charles Sturt (C),93,2021-12-21
Charles Sturt (C),77,2021-12-20
Adelaide (C),2562,2022-01-06
Adelaide (C),2308,2022-01-05
Adelaide (C),2029,2022-01-04
Adelaide (C),1763,2022-01-03
Adelaide (C),1604,2022-01-02
Adelaide (C),1443,2022-01-01
Adelaide (C),1301,2021-12-31
Adelaide (C),1176,2021-12-30
Adelaide (C),1080,2021-12-29
Adelaide (C),970,2021-12-28
Adelaide (C),889,2021-12-27
Adelaide (C),806,2021-12-26
Adelaide (C),744,2021-12-25
Adelaide (C),705,2021-12-24
Adelaide (C),627,2021-12-23
Adelaide (C),582,2021-12-22
Adelaide (C),555,2021-12-21
Adelaide (C),536,2021-12-20
Playford (C),2238,2022-01-06
Playford (C),2045,2022-01-05
Playford (C),1851,2022-01-04
Playford (C),1571,2022-01-03
Playford (C),1421,2022-01-02
Playford (C),1210,2022-01-01
Playford (C),1021,2021-12-31
Playford (C),826,2021-12-30
Playford (C),703,2021-12-29
Playford (C),577,2021-12-28
Playford (C),461,2021-12-27
Playford (C),403,2021-12-26
Playford (C),313,2021-12-25
Playford (C),229,2021-12-24
Playford (C),149,2021-12-23
Playford (C),96,2021-12-22
Playford (C),72,2021-12-21
Playford (C),51,2021-12-20
Onkaparinga (C),1737,2022-01-06
Onkaparinga (C),1557,2022-01-05
Onkaparinga (C),1369,2022-01-04
Onkaparinga (C),1166,2022-01-03
Onkaparinga (C),952,2022-01-02
Onkaparinga (C),793,2022-01-01
Onkaparinga (C),680,2021-12-31
Onkaparinga (C),529,2021-12-30
Onkaparinga (C),433,2021-12-29
Onkaparinga (C),305,2021-12-28
Onkaparinga (C),239,2021-12-27
Onkaparinga (C),185,2021-12-26
Onkaparinga (C),134,2021-12-25
Onkaparinga (C),108,2021-12-24
Onkaparinga (C),77,2021-12-23
Onkaparinga (C),69,2021-12-22
Onkaparinga (C),60,2021-12-21
Onkaparinga (C),59,2021-12-20
Marion (C),1426,2022-01-06
Marion (C),1263,2022-01-05
Marion (C),1100,2022-01-04
Marion (C),952,2022-01-03
Marion (C),810,2022-01-02
Marion (C),691,2022-01-01
Marion (C),593,2021-12-31
Marion (C),485,2021-12-30
Marion (C),407,2021-12-29
Marion (C),319,2021-12-28
Marion (C),247,2021-12-27
Marion (C),199,2021-12-26
Marion (C),150,2021-12-25
Marion (C),115,2021-12-24
Marion (C),80,2021-12-23
Marion (C),67,2021-12-22
Marion (C),55,2021-12-21
Marion (C),49,2021-12-20
West Torrens (C),1175,2022-01-06
West Torrens (C),1026,2022-01-05
West Torrens (C),881,2022-01-04
West Torrens (C),755,2022-01-03
West Torrens (C),595,2022-01-02
West Torrens (C),525,2022-01-01
West Torrens (C),444,2021-12-31
West Torrens (C),340,2021-12-30
West Torrens (C),283,2021-12-29
West Torrens (C),232,2021-12-28
West Torrens (C),200,2021-12-27
West Torrens (C),166,2021-12-26
West Torrens (C),144,2021-12-25
West Torrens (C),109,2021-12-24
West Torrens (C),84,2021-12-23
West Torrens (C),55,2021-12-22
West Torrens (C),40,2021-12-21
West Torrens (C),36,2021-12-20
Tea Tree Gully (C),1435,2022-01-06
Tea Tree Gully (C),1294,2022-01-05
Tea Tree Gully (C),1111,2022-01-04
Tea Tree Gully (C),961,2022-01-03
Tea Tree Gully (C),798,2022-01-02
Tea Tree Gully (C),651,2022-01-01
Tea Tree Gully (C),517,2021-12-31
Tea Tree Gully (C),413,2021-12-30
Tea Tree Gully (C),350,2021-12-29
Tea Tree Gully (C),276,2021-12-28
Tea Tree Gully (C),233,2021-12-27
Tea Tree Gully (C),186,2021-12-26
Tea Tree Gully (C),146,2021-12-25
Tea Tree Gully (C),120,2021-12-24
Tea Tree Gully (C),76,2021-12-23
Tea Tree Gully (C),60,2021-12-22
Tea Tree Gully (C),45,2021-12-21
Tea Tree Gully (C),43,2021-12-20
Campbelltown (C) (SA),1251,2022-01-06
Campbelltown (C) (SA),1138,2022-01-05
Campbelltown (C) (SA),1020,2022-01-04
Campbelltown (C) (SA),939,2022-01-03
Campbelltown (C) (SA),811,2022-01-02
Campbelltown (C) (SA),700,2022-01-01
Campbelltown (C) (SA),602,2021-12-31
Campbelltown (C) (SA),493,2021-12-30
Campbelltown (C) (SA),391,2021-12-29
Campbelltown (C) (SA),308,2021-12-28
Campbelltown (C) (SA),262,2021-12-27
Campbelltown (C) (SA),216,2021-12-26
Campbelltown (C) (SA),160,2021-12-25
Campbelltown (C) (SA),116,2021-12-24
Campbelltown (C) (SA),74,2021-12-23
Campbelltown (C) (SA),51,2021-12-22
Campbelltown (C) (SA),41,2021-12-21
Campbelltown (C) (SA),39,2021-12-20
Holdfast Bay (C),706,2022-01-06
Holdfast Bay (C),617,2022-01-05
Holdfast Bay (C),513,2022-01-04
Holdfast Bay (C),442,2022-01-03
Holdfast Bay (C),373,2022-01-02
Holdfast Bay (C),324,2022-01-01
Holdfast Bay (C),275,2021-12-31
Holdfast Bay (C),220,2021-12-30
Holdfast Bay (C),175,2021-12-29
Holdfast Bay (C),134,2021-12-28
Holdfast Bay (C),108,2021-12-27
Holdfast Bay (C),83,2021-12-26
Holdfast Bay (C),64,2021-12-25
Holdfast Bay (C),52,2021-12-24
Holdfast Bay (C),34,2021-12-23
Holdfast Bay (C),28,2021-12-22
Holdfast Bay (C),22,2021-12-21
Holdfast Bay (C),20,2021-12-20
Mitcham (C),923,2022-01-06
Mitcham (C),840,2022-01-05
Mitcham (C),719,2022-01-04
Mitcham (C),622,2022-01-03
Mitcham (C),548,2022-01-02
Mitcham (C),463,2022-01-01
Mitcham (C),381,2021-12-31
Mitcham (C),297,2021-12-30
Mitcham (C),255,2021-12-29
Mitcham (C),189,2021-12-28
Mitcham (C),156,2021-12-27
Mitcham (C),125,2021-12-26
Mitcham (C),108,2021-12-25
Mitcham (C),86,2021-12-24
Mitcham (C),71,2021-12-23
Mitcham (C),58,2021-12-22
Mitcham (C),54,2021-12-21
Mitcham (C),51,2021-12-20
Burnside (C),740,2022-01-06
Burnside (C),658,2022-01-05
Burnside (C),583,2022-01-04
Burnside (C),518,2022-01-03
Burnside (C),467,2022-01-02
Burnside (C),407,2022-01-01
Burnside (C),354,2021-12-31
Burnside (C),292,2021-12-30
Burnside (C),250,2021-12-29
Burnside (C),201,2021-12-28
Burnside (C),180,2021-12-27
Burnside (C),150,2021-12-26
Burnside (C),126,2021-12-25
Burnside (C),97,2021-12-24
Burnside (C),59,2021-12-23
Burnside (C),41,2021-12-22
Burnside (C),33,2021-12-21
Burnside (C),30,2021-12-20
Murray Bridge (RC),257,2022-01-06
Murray Bridge (RC),176,2022-01-05
Murray Bridge (RC),162,2022-01-04
Murray Bridge (RC),102,2022-01-03
Murray Bridge (RC),84,2022-01-02
Murray Bridge (RC),63,2022-01-01
Murray Bridge (RC),50,2021-12-31
Murray Bridge (RC),39,2021-12-30
Murray Bridge (RC),30,2021-12-29
Murray Bridge (RC),22,2021-12-28
Murray Bridge (RC),18,2021-12-27
Murray Bridge (RC),12,2021-12-26
Murray Bridge (RC),8,2021-12-25
Murray Bridge (RC),5,2021-12-24
Murray Bridge (RC),1,2021-12-23
Murray Bridge (RC),1,2021-12-22
Murray Bridge (RC),1,2021-12-21
Murray Bridge (RC),1,2021-12-20
Unley (C),676,2022-01-06
Unley (C),605,2022-01-05
Unley (C),524,2022-01-04
Unley (C),456,2022-01-03
Unley (C),402,2022-01-02
Unley (C),344,2022-01-01
Unley (C),278,2021-12-31
Unley (C),213,2021-12-30
Unley (C),178,2021-12-29
Unley (C),143,2021-12-28
Unley (C),116,2021-12-27
Unley (C),98,2021-12-26
Unley (C),86,2021-12-25
Unley (C),64,2021-12-24
Unley (C),39,2021-12-23
Unley (C),28,2021-12-22
Unley (C),22,2021-12-21
Unley (C),19,2021-12-20
Norwood Payneham St Peters (C),713,2022-01-06
Norwood Payneham St Peters (C),643,2022-01-05
Norwood Payneham St Peters (C),552,2022-01-04
Norwood Payneham St Peters (C),475,2022-01-03
Norwood Payneham St Peters (C),433,2022-01-02
Norwood Payneham St Peters (C),357,2022-01-01
Norwood Payneham St Peters (C),316,2021-12-31
Norwood Payneham St Peters (C),274,2021-12-30
Norwood Payneham St Peters (C),230,2021-12-29
Norwood Payneham St Peters (C),180,2021-12-28
Norwood Payneham St Peters (C),157,2021-12-27
Norwood Payneham St Peters (C),132,2021-12-26
Norwood Payneham St Peters (C),114,2021-12-25
Norwood Payneham St Peters (C),82,2021-12-24
Norwood Payneham St Peters (C),53,2021-12-23
Norwood Payneham St Peters (C),32,2021-12-22
Norwood Payneham St Peters (C),23,2021-12-21
Norwood Payneham St Peters (C),20,2021-12-20
Prospect (C),480,2022-01-06
Prospect (C),427,2022-01-05
Prospect (C),374,2022-01-04
Prospect (C),310,2022-01-03
Prospect (C),276,2022-01-02
Prospect (C),223,2022-01-01
Prospect (C),187,2021-12-31
Prospect (C),144,2021-12-30
Prospect (C),122,2021-12-29
Prospect (C),99,2021-12-28
Prospect (C),83,2021-12-27
Prospect (C),74,2021-12-26
Prospect (C),58,2021-12-25
Prospect (C),44,2021-12-24
Prospect (C),30,2021-12-23
Prospect (C),19,2021-12-22
Prospect (C),14,2021-12-21
Prospect (C),12,2021-12-20
Adelaide Hills (DC),352,2022-01-06
Adelaide Hills (DC),307,2022-01-05
Adelaide Hills (DC),265,2022-01-04
Adelaide Hills (DC),225,2022-01-03
Adelaide Hills (DC),202,2022-01-02
Adelaide Hills (DC),176,2022-01-01
Adelaide Hills (DC),148,2021-12-31
Adelaide Hills (DC),118,2021-12-30
Adelaide Hills (DC),105,2021-12-29
Adelaide Hills (DC),91,2021-12-28
Adelaide Hills (DC),81,2021-12-27
Adelaide Hills (DC),65,2021-12-26
Adelaide Hills (DC),46,2021-12-25
Adelaide Hills (DC),41,2021-12-24
Adelaide Hills (DC),25,2021-12-23
Adelaide Hills (DC),21,2021-12-22
Adelaide Hills (DC),18,2021-12-21
Adelaide Hills (DC),17,2021-12-20
Naracoorte and Lucindale (DC),126,2022-01-06
Naracoorte and Lucindale (DC),86,2022-01-05
Naracoorte and Lucindale (DC),36,2022-01-04
Naracoorte and Lucindale (DC),19,2022-01-03
Naracoorte and Lucindale (DC),14,2022-01-02
Naracoorte and Lucindale (DC),12,2022-01-01
Naracoorte and Lucindale (DC),9,2021-12-31
Naracoorte and Lucindale (DC),6,2021-12-30
Naracoorte and Lucindale (DC),5,2021-12-29
Naracoorte and Lucindale (DC),4,2021-12-28
Naracoorte and Lucindale (DC),4,2021-12-27
Naracoorte and Lucindale (DC),4,2021-12-26
Naracoorte and Lucindale (DC),2,2021-12-25
Naracoorte and Lucindale (DC),2,2021-12-24
Naracoorte and Lucindale (DC),2,2021-12-23
Naracoorte and Lucindale (DC),1,2021-12-22
Naracoorte and Lucindale (DC),1,2021-12-21
Naracoorte and Lucindale (DC),0,2021-12-20
Mount Barker (DC),395,2022-01-06
Mount Barker (DC),357,2022-01-05
Mount Barker (DC),335,2022-01-04
Mount Barker (DC),271,2022-01-03
Mount Barker (DC),232,2022-01-02
Mount Barker (DC),189,2022-01-01
Mount Barker (DC),146,2021-12-31
Mount Barker (DC),116,2021-12-30
Mount Barker (DC),87,2021-12-29
Mount Barker (DC),65,2021-12-28
Mount Barker (DC),57,2021-12-27
Mount Barker (DC),41,2021-12-26
