Date,Total cases,LGA
2021-12-23,1192.0,Brisbane (C)
2021-12-22,1030.0,Brisbane (C)
2021-12-21,961.0,Brisbane (C)
2021-12-20,935.0,Brisbane (C)
2021-12-23,411.0,Gold Coast (C)
2021-12-22,356.0,Gold Coast (C)
2021-12-21,333.0,Gold Coast (C)
2021-12-20,316.0,Gold Coast (C)
2021-12-23,120.0,Logan (C)
2021-12-22,105.0,Logan (C)
2021-12-21,98.0,Logan (C)
2021-12-20,93.0,Logan (C)
2021-12-23,104.0,Ipswich (C)
2021-12-22,91.0,Ipswich (C)
2021-12-21,81.0,Ipswich (C)
2021-12-20,77.0,Ipswich (C)
2021-12-23,122.0,Sunshine Coast (R)
2021-12-22,111.0,Sunshine Coast (R)
2021-12-21,108.0,Sunshine Coast (R)
2021-12-20,106.0,Sunshine Coast (R)
2021-12-23,176.0,Moreton Bay (R)
2021-12-22,166.0,Moreton Bay (R)
2021-12-21,154.0,Moreton Bay (R)
2021-12-20,154.0,Moreton Bay (R)
2021-12-23,67.0,Cairns (R)
2021-12-22,64.0,Cairns (R)
2021-12-21,60.0,Cairns (R)
2021-12-20,57.0,Cairns (R)
2021-12-23,62.0,Toowoomba (R)
2021-12-22,56.0,Toowoomba (R)
2021-12-21,56.0,Toowoomba (R)
2021-12-20,56.0,Toowoomba (R)
2021-12-23,26.0,Mackay (R)
2021-12-22,25.0,Mackay (R)
2021-12-21,25.0,Mackay (R)
2021-12-20,24.0,Mackay (R)
2021-12-23,40.0,Townsville (C)
2021-12-22,38.0,Townsville (C)
2021-12-21,37.0,Townsville (C)
2021-12-20,36.0,Townsville (C)
2021-12-23,18.0,Fraser Coast (R)
2021-12-22,18.0,Fraser Coast (R)
2021-12-21,18.0,Fraser Coast (R)
2021-12-20,17.0,Fraser Coast (R)
2021-12-23,53.0,Redland (C)
2021-12-22,46.0,Redland (C)
2021-12-21,41.0,Redland (C)
2021-12-20,41.0,Redland (C)
2021-12-23,36.0,Noosa (S)
2021-12-22,33.0,Noosa (S)
2021-12-21,25.0,Noosa (S)
2021-12-20,24.0,Noosa (S)
2021-12-23,10.0,Whitsunday (R)
2021-12-22,9.0,Whitsunday (R)
2021-12-21,9.0,Whitsunday (R)
2021-12-20,9.0,Whitsunday (R)
2021-12-23,23.0,Rockhampton (R)
2021-12-22,22.0,Rockhampton (R)
2021-12-21,22.0,Rockhampton (R)
2021-12-20,22.0,Rockhampton (R)
2021-12-23,26.0,Bundaberg (R)
2021-12-22,21.0,Bundaberg (R)
2021-12-21,21.0,Bundaberg (R)
2021-12-20,21.0,Bundaberg (R)
2021-12-23,10.0,Gladstone (R)
2021-12-22,9.0,Gladstone (R)
2021-12-21,9.0,Gladstone (R)
2021-12-20,9.0,Gladstone (R)
2021-12-23,3.0,South Burnett (R)
2021-12-22,3.0,South Burnett (R)
2021-12-21,3.0,South Burnett (R)
2021-12-20,3.0,South Burnett (R)
2021-12-23,6.0,Lockyer Valley (R)
2021-12-22,6.0,Lockyer Valley (R)
2021-12-21,6.0,Lockyer Valley (R)
2021-12-20,7.0,Lockyer Valley (R)
2021-12-23,8.0,Gympie (R)
2021-12-22,6.0,Gympie (R)
2021-12-21,6.0,Gympie (R)
2021-12-20,6.0,Gympie (R)
2021-12-23,0.0,Isaac (R)
2021-12-22,0.0,Isaac (R)
